  2.00000000000000016E-005  -12.911522818473095       -12.909243036231207     
  2.05706612385935037E-005  -12.911449839065011       -12.909170070112493     
  2.11576051896486567E-005  -12.911374777770988       -12.909095022486653     
  2.17612964488085151E-005  -12.911297575213901       -12.909017833987370     
  2.23822128680523850E-005  -12.911218174149667       -12.908938447380933     
  2.30208459339396945E-005  -12.911136507955989       -12.908856796057160     
  2.36777011566463038E-005  -12.911052512010210       -12.908772815405127     
  2.43532984701012298E-005  -12.910966119873557       -12.908686438998133     
  2.50481726435404902E-005  -12.910877263209144       -12.908597598511692     
  2.57628737048038230E-005  -12.910785871732195       -12.908506223673802     
  2.64979673757093843E-005  -12.910691873154537       -12.908412242209403     
  2.72540355198510107E-005  -12.910595193127586       -12.908315579783418     
  2.80316766031724826E-005  -12.910495755183678       -12.908216159942059     
  2.88315061676834260E-005  -12.910393480675735       -12.908113904052515     
  2.96541573186917457E-005  -12.910288288715215       -12.908008731240933     
  3.05002812259383016E-005  -12.910180096108320       -12.907900558328611     
  3.13705476390305045E-005  -12.910068817290368       -12.907789299766385     
  3.22656454175827855E-005  -12.909954364258313       -12.907674867567183     
  3.31862830764836103E-005  -12.909836646501358       -12.907557171236608     
  3.41331893467206418E-005  -12.909715570929567       -12.907436117701627     
  3.51071137522079445E-005  -12.909591041800502       -12.907311611237152     
  3.61088272030718422E-005  -12.909462960643722       -12.907183553390597     
  3.71391226058650269E-005  -12.909331226183181       -12.907051842904274     
  3.81988154911919653E-005  -12.909195734257407       -12.906916375635600     
  3.92887446592423775E-005  -12.909056377737420       -12.906777044475001     
  4.04097728437437191E-005  -12.908913046442326       -12.906633739261554     
  4.15627873948583665E-005  -12.908765627052500       -12.906486346696157     
  4.27487009815657803E-005  -12.908614003020345       -12.906334750252334     
  4.39684523140859557E-005  -12.908458054478485       -12.906178830084409     
  4.52230068869157310E-005  -12.908297658145361       -12.906018462933156     
  4.65133577430662225E-005  -12.908132687228198       -12.905853522028742     
  4.78405262601062624E-005  -12.907963011323137       -12.905683876990922     
  4.92055629586341168E-005  -12.907788496312628       -12.905509393726422     
  5.06095483338173466E-005  -12.907609004259863       -12.905329934323381     
  5.20535937106590435E-005  -12.907424393300230       -12.905145356942860     
  5.35388421236674249E-005  -12.907234517529735       -12.904955515707249     
  5.50664692216251141E-005  -12.907039226890189       -12.904760260585491     
  5.66376841981742858E-005  -12.906838367051211       -12.904559437275108     
  5.82537307489541719E-005  -12.906631779288876       -12.904352887080870     
  5.99158880560486993E-005  -12.906419300360943       -12.904140446790027     
  6.16254718005234070E-005  -12.906200762378527       -12.903921948544024     
  6.33838352038531801E-005  -12.905975992674156       -12.903697219706578     
  6.51923700990650372E-005  -12.905744813666120       -12.903466082728045     
  6.70525080324439613E-005  -12.905507042718982       -12.903228355005952     
  6.89657213966737219E-005  -12.905262492000125       -12.902983848741583     
  7.09335245963097177E-005  -12.905010968332277       -12.902732370792517     
  7.29574752465063733E-005  -12.904752273041868       -12.902473722521021     
  7.50391754059476581E-005  -12.904486201803115       -12.902207699638158     
  7.71802728449573104E-005  -12.904212544477689       -12.901934092043469     
  7.93824623497916919E-005  -12.903931084949887       -12.901652683660201     
  8.16474870641483851E-005  -12.903641600957146       -12.901363252265829     
  8.39771398689520993E-005  -12.903343863915801       -12.901065569317854     
  8.63732648015098833E-005  -12.903037638741905       -12.900759399774641     
  8.88377585151595671E-005  -12.902722683667024       -12.900444501911277     
  9.13725717805661505E-005  -12.902398750048864       -12.900120627130187     
  9.39797110298547206E-005  -12.902065582176538       -12.899787519766473     
  9.66612399448025269E-005  -12.901722917070416       -12.899444916887767     
  9.94192810903467500E-005  -12.901370484276237       -12.899092548088422     
  1.02256017594701363E-004  -12.901008005653605       -12.898730135277983     
  1.05173694877412938E-004  -12.900635195158381       -12.898357392463680     
  1.08174622426722913E-004  -12.900251758619088       -12.897974025526819     
  1.11261175627643807E-004  -12.899857393506995       -12.897579731992940     
  1.14435797642195821E-004  -12.899451788699729       -12.897174200795453     
  1.17701001343292356E-004  -12.899034624238334       -12.896757112032741     
  1.21059371303805283E-004  -12.898605571077470       -12.896328136718406     
  1.24513565842384265E-004  -12.898164290828634       -12.895886936524533     
  1.28066319127649684E-004  -12.897710435496217       -12.895433163517779     
  1.31720443342424451E-004  -12.897243647206144       -12.894966459888080     
  1.35478830909718085E-004  -12.896763557926981       -12.894486457669787     
  1.39344456782225040E-004  -12.896269789183213       -12.893992778455008     
  1.43320380797149215E-004  -12.895761951760544       -12.893485033098926     
  1.47409750098218901E-004  -12.895239645402961       -12.892962821416965     
  1.51615801626809276E-004  -12.894702458501378       -12.892425731873441     
  1.55941864684144371E-004  -12.894149967773579       -12.891873341261578     
  1.60391363566606037E-004  -12.893581737935298       -12.891305214374629     
  1.64967820276237066E-004  -12.892997321362094       -12.890720903667832     
  1.69674857308582444E-004  -12.892396257741886       -12.890119948910984     
  1.74516200520076964E-004  -12.891778073717807       -12.889501876831343     
  1.79495682077247928E-004  -12.891142282521152       -12.888866200746664     
  1.84617243490067286E-004  -12.890488383594167       -12.888212420188035     
  1.89884938731855270E-004  -12.889815862202369       -12.887540020512251     
  1.95302937448203897E-004  -12.889124189036160       -12.886848472503507     
  2.00875528257460877E-004  -12.888412819801410       -12.886137231964049     
  2.06607122145387238E-004  -12.887681194798732       -12.885405739293494     
  2.12502255956673438E-004  -12.886928738491155       -12.884653419056605     
  2.18565595986080873E-004  -12.886154859059864       -12.883879679539071     
  2.24801941672048123E-004  -12.885358947947747       -12.883083912291143     
