          0.0002978397          0.0938570630          0.0625713753          0.1564284383
          0.0003063380          0.0938565525          0.0625710350          0.1564275875
          0.0003150788          0.0938560275          0.0625706850          0.1564267125
          0.0003240689          0.0938554875          0.0625703250          0.1564258124
          0.0003333156          0.0938549320          0.0625699547          0.1564248867
          0.0003428261          0.0938543608          0.0625695738          0.1564239346
          0.0003526080          0.0938537732          0.0625691821          0.1564229553
          0.0003626690          0.0938531689          0.0625687793          0.1564219481
          0.0003730170          0.0938525473          0.0625683649          0.1564209122
          0.0003836604          0.0938519080          0.0625679387          0.1564198467
          0.0003946074          0.0938512505          0.0625675003          0.1564187508
          0.0004058667          0.0938505742          0.0625670495          0.1564176237
          0.0004174473          0.0938498786          0.0625665857          0.1564164644
          0.0004293584          0.0938491632          0.0625661088          0.1564152720
          0.0004416093          0.0938484274          0.0625656182          0.1564140456
          0.0004542098          0.0938476705          0.0625651137          0.1564127842
          0.0004671698          0.0938468921          0.0625645948          0.1564114869
          0.0004804995          0.0938460915          0.0625640610          0.1564101525
          0.0004942097          0.0938452681          0.0625635121          0.1564087801
          0.0005083110          0.0938444211          0.0625629474          0.1564073686
          0.0005228147          0.0938435501          0.0625623667          0.1564059168
          0.0005377322          0.0938426541          0.0625617694          0.1564044235
          0.0005530753          0.0938417326          0.0625611551          0.1564028877
          0.0005688562          0.0938407848          0.0625605232          0.1564013081
          0.0005850874          0.0938398100          0.0625598734          0.1563996834
          0.0006017818          0.0938388074          0.0625592049          0.1563980124
          0.0006189525          0.0938377762          0.0625585175          0.1563962937
          0.0006366131          0.0938367156          0.0625578104          0.1563945260
          0.0006547776          0.0938356247          0.0625570831          0.1563927079
          0.0006734604          0.0938345027          0.0625563352          0.1563908379
          0.0006926763          0.0938333487          0.0625555658          0.1563889146
          0.0007124405          0.0938321618          0.0625547746          0.1563869364
          0.0007327686          0.0938309411          0.0625539607          0.1563849018
          0.0007536767          0.0938296855          0.0625531237          0.1563828092
          0.0007751814          0.0938283942          0.0625522628          0.1563806569
          0.0007972997          0.0938270660          0.0625513773          0.1563784433
          0.0008200491          0.0938256999          0.0625504666          0.1563761665
          0.0008434476          0.0938242949          0.0625495299          0.1563738248
          0.0008675138          0.0938228498          0.0625485665          0.1563714163
          0.0008922666          0.0938213634          0.0625475756          0.1563689391
          0.0009177257          0.0938198347          0.0625465565          0.1563663912
          0.0009439112          0.0938182625          0.0625455083          0.1563637708
          0.0009708439          0.0938166453          0.0625444302          0.1563610756
          0.0009985450          0.0938149821          0.0625433214          0.1563583035
          0.0010270366          0.0938132714          0.0625421810          0.1563554524
          0.0010563411          0.0938115120          0.0625410080          0.1563525200
          0.0010864817          0.0938097024          0.0625398016          0.1563495040
          0.0011174824          0.0938078412          0.0625385608          0.1563464020
          0.0011493676          0.0938059269          0.0625372846          0.1563432115
          0.0011821625          0.0938039581          0.0625359720          0.1563399301
          0.0012158933          0.0938019331          0.0625346220          0.1563365551
          0.0012505864          0.0937998504          0.0625332336          0.1563330839
